,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
1312,US,4928210,R1GQT35X7A39X5,B001IAPL46,311600177,razbaby keep-it-kleen pacifier,Baby,1,0,1,N,Y,"Looks cute, but not practical at all","This pacifier looks great from the front .... but the built-in case/cover that it has is extremely annoying.  It prevents baby from being able to suckle the pacifier in the usual way, and as soon as the pacifier comes out of baby's mouth the cover automatically snaps back into place around the mouthpiece of the pacifier.  This means that baby can't put the pacifier back in her own mouth - parents have to do it.  Trendy item, but not practical at all.  Noting that my experience is based on 4 children over the past 8 years so I've literally purchased over 100 pacifiers in that time....",7/19/2015,1,1
1921,us,8272522,rpkyf8wvd32q,b000lxqva4,535123469,fisher-price rainforest jumperoo,baby,1,13,22,n,n,how on earth does this have so many good reviews?!,"this is a very expensive disappointment. i'm a bit shocked reading other reviews also, is my 4/5 month old the only one that is super board and not finding this toy amusing whatsoever? the first time i plopped her in she was around 3 months, the good thing is it has a high back so it supported her nicely. the sad thing is, the toys are all kind of unreachable (she can barely touch the floor in this, however i did give her a little boost with a book to see if it would help) but the toys just plain stink. the elephant doesn't even face her, and to turn it requires more force than she has (it's hard for me). the music is annoying and there is basically 1 tune it plays. there is a little tiger that is supposed to &#34;pop&#34; up when you push the button, well he barely moves out...slightly does the tip of his head raise up. i want to know who designed this and if they still have a job, it's pathetic and obviously designed by someone who doesn't have a child. the only thing my baby liked was to look at the lion and she laughed a couple times but was over it pretty fast. there are a few wheel type things to spin, one just has colors on it, and the baby can't reach and she doesn't even care to look at it when i spin it. the butterfly attachment is shown in the picture standing straight up and it is not like that at all- it's this limp thing that unless she's holding it just lays on the bottom. blah, waste of money, i try to get her to sit in it, but she just slumps there looking miserable and i take her out after maybe 10 minutes. i hardly believe this many people rated it so highly...makes me wonder how true these reviews are.",12/19/2013,1,0
2015,US,8923030,R38C4YAZO6SHFK,B001AVMF10,833430714,"natursutten bpa-free natural rubber pacifier, rounded nipple",Baby,4,0,1,N,Y,Great...but,"My daughter is 5 months old, and since she was born, she used the Gerber First essentials soft center pacifier. But she is reaaally a sucker, so she expanded it and broke it. After that I bought almost 10 different pacifiers, but she wouldn't take none!! I was desperate...until I found this. Although she is 5 months, she seems to like bigger rounded pacis so I thought this should be it..and it was. So grateful by the quality and fast shipment, they solved my life. BUT, the only downfall is that because is all made of latex, the rounded part sticks to the side, and it's very annoying, and it seems to capture a lot of dust and hairs...but other than that, a great product.",5/10/2013,1,1
2150,us,9874525,r10d8qm0lyhhc6,b001u0pxzg,565058490,britax advocate 65 cs click & safe convertible car seat,baby,4,2,2,n,y,4 and 3/4 stars!,"the 4 & 3/4:  i bought this car seat, like many other people, because it is top of the line here in the states. i am a very frugal person, so dropping $200 something on a car seat is very uncharacteristic of me. however, there are things you skimp on: hand me down clothes, second had toys, etc. the safety of my child just wasn't one of those things. this car seat is miles ahead of the infant carrier car seat we had when my daughter was first born. being frugal, before my daughter was born, i bought infant carrier car seat because it came with a stroller it connected with. my daughter out grew the weight & height requirement by the time she turned 10 months old. for what i spent on that car seat, vs what i spend on the britax and how long it will last her, i feel like i got ripped off on the earlier car seat. not only did she out grow it quickly, but it was complicated to snap her in, and although i had it latched down and had the seat belt through it and ratcheted tight, it still moved when i went over bumps.     going from that to our now installed britax was night and day. it is so easy to get her in and out of this, there are even little velcro patches on the sides that you can stick the straps to to get her in and out easier. the clicking system is great for knowing when it's just snug enough, i find that it takes between 2-3 clicks to have it snug enough, but it's reassuring to hear the clicks (it's also great for her grandparents). my daughter is still rear facing and i really like that it has a rebound strap that connects to the floor. i also like that she will be able to remain rear facing until she is 35 pounds, all the safer for her. i don't think i will ever buy anything but britax again.    the 1/4 star left off:    (note: i don't list expenses as a con, because i feel like i have gotten what i paid for)    1.) it was difficult to install in the rear facing position. we had a car seat check done (i would highly recommend this, these people put in a lot of hours to learn how to keep our kids strapped in safe and properly, and their services are free! it's worth 30 minutes out of your saturday), and we had done it mostly right, but even the car seat tech had a bit hard time getting it into just the right position (she also raved about the britax car seat and told us advantages about it we were unaware of).     2.) the seat - although it doesn't move a smidgen left to right (love that) - actually slips down towards the back of the seat of the car making my daughter more reclined back (i hope that made sense). i think this is because of the angle of our leather seats. kind of annoying, but quick and easy to scooch it back into place.    3.) this thing is big. and takes up a lot of room. i can't see this fitting in a smaller car rear facing. it just barely fits rear facing in our sequoia in the center spot (i know it wouldn't fit behind the seats with them pushed all the way back - my hubby and i are both 6 ft+, so that's a bit of a downer if we had to have her on the side).for that reason, and the difficulty of installing it rear facing initially (i think i could do it okay again on my own, i just don't want to mess with it), i have never taken this car seat out of the car, instead i always offer to drive. because again a) it's a little tricky to install (mostly because it is so big) and b) it is so big :).     that being said, i really love this car seat and feel so good about having made this purchase and have recommend it to friends and family. i love knowing that my little one is safe, secure, and pretty darn cozy in her car seat.",12/11/2009,1,0
2208,us,9957049,r2xeu396oyqkzi,b005whqkg4,615076543,graco comfortsport convertible car seat,baby,3,0,0,n,y,you get what you pay for,"the seat was inexpensive, so i wasn't surprised to find the fittings were cheaply made and not very easy to deal with.  its hard to &#34;click in&#34;, its hard to tighten the harness and the seat latches.  i personally would spend more money not to deal with these issues. they're quite annoying.  especially if your on a time crunch.",10/14/2013,1,0
2690,US,10775628,R1K1D4YGLPHRMR,B004LKRYM2,953521763,philips avent 2 pack bpa free pacifier,Baby,3,0,0,N,Y,I like them but I constantly have to turn them around,"he always puts them in upside down. Other avent pacifiers we have don't have an up or down. So, that's sorta annoying from an aesthetics standpoint. But, they come with little covers and I can just keep them in the diaper bag without worrying about them getting dirty.",12/19/2013,-1,1
2749,us,10882381,r1stnaw1m74thw,b00ayj2oba,963797268,freehand mei tai baby carrier in solid black,baby,3,0,0,n,y,almost love it,"i like this carrier and use it often. it's very simple and comfortable and doesn't hurt my back even after hours of wearing (my baby is currently 12 lbs). i am a big fan of mei tai carriers and love that this one was more affordable. the only reason i gave it 3 instead of 5 stars is that there are small, white fibers inside the padded straps that work their way out with each washing. i washed it before using it the first time and it looked like there was pet hair all over the straps! i had to pick them all off which was very annoying. i wouldn't buy this product again due to this, i guess it's worth it to spend more money on a brand with higher quality materials.",11/30/2013,1,1
2808,us,10967511,r15ij7rqese6bi,b000yddf6o,86922018,baby einstein take along tunes musical toy,baby,3,5,7,n,y,not sure i'd recommend,"i bought this because of all the good reviews, but i suspected i was falling for a good marketing strategy.  i think it's overrated.  the plastic is hard.  i don't feel comfortable leaving my baby alone with the toy.  it seems too likely she'll hit her head with it.  the music is okay--but not nearly as good as others seem to believe. the lights attract the baby's attention, but it doesn't sustain her interest.  she sometimes hits the button, but it's not a given.  the beads on the side are decorative.  there's not much a baby can do with them. they don't rattle.  there's not enough room for them to move up and down the handle.  on the whole, i find the toy rather annoying.  the reviewers who say this is great for parents too must be more tolerant than me.",1/14/2014,-1,0
2866,us,11040023,r1hzmzjvzuhe08,b0002jetom,828691890,"x wide wire mesh gate, fits spaces between 29.5 to 50 wide and 32 high",Baby,4,2,2,N,Y,Definitely tough.,"This product is a little awkward to adjust, which makes moving it to different locations a little annoying.  If you're going to leave it in one place, it's great.  This is the biggest gate I could find, and it is pretty tough.  We use it to contain our dogs in the house, and they have chewed on both the wood and wire, and it has stood up well.",11/12/2011,1,1
3045,us,11315624,r30kjr25satfh9,b00f1cpbq0,295169426,tiny love take along mobile,baby,5,0,0,n,n,awesome!,"this thing is a life saver. the way it can attach to so many different things is so great! people are always asking me about it. i put it on the car seat and it really helps calm the baby. the music is nice, not too annoying or too loud, which is often an issue with these things.  there is also a setting where it spins without the music which is useful in places it needs to be quit. highly recommend.",8/31/2014,1,1
