,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
383,us,1385291,rm6qbp8hwdnu4,b00exxcy6i,532853193,music is the prayer the heart sings vinyl wall decals quotes sayings words art decor lettering vinyl wall art inspirational uplifting,baby,5,0,0,n,y,five stars,much smaller than it appears in pictures....disappointed,1/2/2015,-1,1
477,US,1608982,R12ZX0N1IPGMMI,B007SCL0KW,658527424,ken health - mini medicator - baby medicine dispenser/pacifier with free syringe,Baby,1,5,5,N,Y,Very very very disappointed. Damn it,"What I received was totaly different from the picture. Also, the product was put in an unencapsulated plastic bag. Very very very disappointed. Damn it!",12/12/2014,-1,0
623,US,2037963,R1KZMDMDEQKGDL,B00BIFAER0,955350284,dr. brown's prevent classic pacifier,Baby,1,0,2,N,Y,Its not worth buying !!!,"um a new mother , nd i had to set my baby&#34;s feeding schedules...bcs initially baby dsnt know much difference between suckin and feeding ..and to avoid all time crying we need to pacify him time to time  ..i was using avent pacifiers previously n they came with a cap too ..for hygiene .. Then later..  i bought these to giv a try and  was really disappointed bcs my 2 month baby didnot like it at all...<br />  ..so um happy with my previous ones...:)",4/11/2015,-1,0
633,us,2050756,r18qg2wg1vfw1y,b00evwx8iy,3729223,teddy needs a bath dryer sheet - 2-pack bundle - cotton candy-scented,baby,1,1,1,n,y,dryer sheets smell great in the box,"dryer sheets smell great in the box, but leave no smell at all on clothes. very disappointed and wish i didn't waste the money on 2 boxes. your regular brand name dryer sheets work better that's these expensive ones. don't waste your money.",3/17/2015,-1,0
682,us,2175808,r4ffm22fp25xw,b00bnebkxs,97023539,munchkin easy close tall and wide metal safety gate with 4 extensions (discontinued by manufacturer),baby,1,0,1,n,y,no instructions and used,"gate was delivered on time, but box seemed to be opened and used. plastic zip ties were already cut, like product had been returned before. product was dusty and dirty. there were no instructions and took two hours to put up. very disappointed in amazon.",12/9/2014,0,1
783,us,2455264,rsiz2ytnvp1s3,b00b5cbibw,136802755,"tommee tippee nipples, fast flow, 2-count (discontinued by manufacturer)",baby,5,0,0,n,y,tommee tippee maintains quality,i am a fan of tommee tippee and am disappointed my youngest doesnt care for the nipple. however my oldest loves them and they have stood up to her usage for almost 2 years. i recommend these to any breast feeding moms switching to bottles.,2/11/2014,1,0
896,US,2808649,R3GXI8B3HDY3O9,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Y,Wonderful for helping baby to self soothe back to sleep for sleep training!!,This is my daughter's favorite. We have multiple but this one is so soft and sweet. You will not be disappointed. When u need to clean just out then in a cotton pillowcase and run through the washing machine and low dryer setting. Our baby falls asleep with this and then holds into it in the night like a baby. So sweet and they work.,6/30/2014,1,0
982,US,3099555,R2OAGXTU8O92XN,B000ZD3YG4,858196820,"hawaii medial gumdrop pacifier - newborn, natural scent",Baby,2,2,2,N,Y,Not what I expected,"I received a jolly pop pacifier in the mail, not a Hawaii medical one. I was so disappointed but I guess the only good side to all this is that it wasn't stiff like the gumdrops from walmart and it was bpa free. But why advertise something false?",5/15/2014,-1,1
1023,us,3239334,r26i8hlgvhu5i9,b0049b3td6,308848092,lilypadz reusable silicone nursing pads starter kit single pair regular size,baby,1,2,2,n,y,be cautious!,"i was so excited for this item. i was extremely disappointed the first time i used it. and then the second and third time. it had small gaps around my nipple no matter which way i applied them. this lead to milk pooling, leaking and then making a big mess. it may have been my physical makeup but these didn't work for me no matter what i did.",6/27/2014,-1,0
1098,us,3816005,r2v36x8nthihiv,b009f01pqo,304485404,baby bath toy flashing light snail,baby,3,3,3,n,y,"product is cute, but not as described - this is not a bath thermometer!!!","i am rating this product as &#34;okay&#34; because it is a good light up bath toy. however, i purchased it because i was looking for a bath thermometer. it is not a bath thermometer! it fades from one color to the next, to the next, to the next. the color change has nothing to do with the bath temperature at all. if it had been advertised as a light up bath toy and i had purchased it for that reason, i would be perfectly happy. the description is misleading, and of course i am not going to go through the motions of returning a $6 bath toy with all the hassle that is involved, but now i have to look for another bath thermometer for my baby! i am extremely disappointed! they need to update their description, as it is not a correct representation of the product.",12/30/2013,-1,1
1118,us,3949632,r1icpjboui7si7,b0072vcotu,748386515,tommee tippee explora truly spill proof water bottle 2pk boy (colors/styles may vary),baby,1,0,1,n,y,dishonest marketing.,"i was supposed to receive two boy cups in a tall size; that's the specific reason that i chose to purchase this particular set. 2, 9 fluid ounce cups came, one in yellow and one in pink. very disappointed.",2/6/2014,0,1
1157,US,4211791,RK4U4BQV0S2OS,B000P22YTI,508170926,wubbanub infant plush toy pacifier green frog,Baby,3,0,0,N,Y,Cute,I give it a 3 star for being cute but was disappointed in the size all together. It was way smaller than I thought it would really be.,4/13/2015,1,0
1241,US,4562586,R1TT16816755KY,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,1,5,7,N,Y,Poor Quality,The Wubanub had small holes in the seams and overall was put together very poorly. I was very disappointed in the quality of this item.,5/31/2014,-1,1
1275,US,4743900,R1ZSZ8OT4OL2ST,B0081ZOV06,473538559,"philips aventbpa free soothie pacifier, 3+ months, green, 2 count",Baby,1,0,1,N,Y,Very Hard,"I very disappointed with this pacifier. I was expecting I will get the same soft yellow soothie that came along with the Avent bottles instead I got a very hard pacifiers. I would never try giving it to my 4 months old son and hurt his palate and gums. I also tried submerging the pacifiers in a not too hot water and see if a little hardness will go away but it is still the same, waste of money.",4/16/2015,1,1
1279,us,4760068,r3qqk1y3ngtzi9,b00qs1uugy,732225774,sassy 9oz. insulated grow up cup - 2 pack,baby,1,0,0,n,y,leaking cups!,"we love sassy spoutless cups in this house. our one year old twins won't use anything else. we have been searching for an insulated cup for them and when i saw these i knew i had to try them. sadly, they leak all over the place. i know i am putting the lids on correctly as we have other cups like this. i'm very disappointed and now on the search again.",6/26/2015,-1,0
1390,us,5232470,r2go53wg78j5je,b007ny2nba,163636339,times square 8 pieces diaper tote bag set (classic black),baby,4,0,0,n,y,over all nice bag.,i purchased this for my little girl (due in 2 months).. i like that the surface is water resistant and should be easy to wipe clean. i was slightly disappointed with the changing pad.. its just a thin piece of plastic fabric (similar to the bags fabric) with little to no padding. however for the price i shouldn't be surprised. i love the colors they match our stroller (graco travel system) we just got from the baby shower perfectly.,4/14/2013,-1,0
1482,US,5642664,R36OIKY9FJKUGI,B003YHQ140,969174729,baby fanatic pacifier (2 pack) - dallas cowboys,Baby,4,1,1,N,Y,i loved it!,"i initially bought two other cowboys pacifiers from amazon that where 3+ months and they had little bumps on the pacifier for my baby's gums. Until someone boiled them and got water stains all in it plus the batman pacifiers i had for him as well. anyways i like these as well but they were shaped different and didnt have the bumps for ortho use. i thought they were the same pacifiers just because they only show one picture, but when i got them i was slightly disappointed but of course my baby love his pacifiers.",2/7/2014,1,0
1503,us,5803838,rgm12a162nzqr,b004ettypu,156887239,"parent units 16 tv guard original, clear",Baby,1,0,0,N,Y,Very disappointed.,The flap on the base is not wide enough to actually secure under the electronics.  Very disappointed.,2/20/2015,-1,0
1617,us,6423532,r29bjr86ic3cng,b007etjqi2,934484855,kidz delight kidz delight smooth touch fun n play tablet,baby,1,1,1,n,n,i was pretty disappointed: (,"i thought the whole screen would light up, but no just the little picture in the corner did. my 16 mth baby really wanted nothing to do with it. i was pretty disappointed :(",12/6/2014,-1,0
1632,US,6500623,R1E1S9JM9438NN,B00DDT1HWA,552512389,"the first years newborn pacifier, john deere, 2-count",Baby,1,1,2,N,Y,very cheap!,I bought these for my son and I was very disappointed when I got them! The nipple is horrible and small. The only thing nice about these pacifiers are the nice looking logo on the front. Otherwise I would not recommend these to anyone!,12/28/2013,-1,0
1634,us,6508425,r230g850zl7awj,b0057ecys0,844031020,philips avent electric steam sterilizer,baby,2,1,1,n,y,i very disappointed.,"i brought recently the philips avent 3 in 1, and at first was operating ok, but i few days ago it does not work.<br />i always use this brand and never have this problem before.<br />i very disappointed.",2/4/2015,-1,0
