,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
9,us,56942,r20foz2ivpgt8x,b00nfsvqsy,557375202,planet wise lite wet bag,baby,5,18,18,n,y,prefer lite over the double layer version - just watch out for the light background prints,"good wet bag, adorable design. i got the foxy frolic print which has a white background, and because this is a single layer bag, it's rather see through. i use this for my cloth diapers, and while i haven't had a problem yet, i could see messes smearing inside and being visible through the bag. while it's not going to go through the material, it'd be kinda gross to see. or, if you have an easily embarrassed child, their wet underwear could be seen through the lighter material.<br /><br />i actually prefer the lite wet bag over the double layer wet bag by planet wise (i bought the double layer style first - 2 large and 1 medium). the double layer bags tends to collect and hold water in the waterproof side during the wash cycle and it's an extra step to get the liner fully empty and reset into the cloth outer bag so it can fully dry. plus, i tend to wonder if the water that is trapped in the liner side is clean or not. this bag being a single layer is much easier to flip inside out and back again.",5/25/2015,1,1
11,us,67997,r1n7n208696tpz,b00bejreic,564514027,"summer infant soothe and sleep bassinet with motion, sweet lamb",baby,5,2,2,n,n,love it.,"i had this bassinet with my first son and we hated it at first because it would only work for 10 seconds or so and my son would not lay in it what so ever. we were so aggravated with it and so tired lol. after two days of having it i thought maybe it was put together with bad batteries (my fil put it together) so i flipped it over and noticed it was still on &#34;demo&#34;. i switched it to normal mode and it worked like a dream, i laid our newborn down in it as a &#34;last try and i'm trashing this thing&#34;, turned the rocker on and he was loving it!! my husband and i were so thankful to find that switch and have our newborn sleeping peacefully! i got rid of it after our first because the part they lay in became slanted and i didn't feel safe putting another baby in it. i don't think they're really built to last that long anyway. i just reordered this for our son who is due in these next few weeks and i am so excited about receiving this. i hope he loves it as much as his brother.<br /><br />a little about the product itself:<br />it rocks side to side and has a turn knob to control fast or slow rocking.<br />the music is soothing from what i remember. we really only used one sound and it was the &#34;nature&#34; sound.<br />has storage on bottom, i personally always forgot about this but could be helpful if you are moving it room to room to help carry whatever you need to take with you.<br />design was nice in my opinion. i feel as though it could be used for either gender.<br />only con was they aren't built to last more than one child (my personal experience and opinion) but they're priced reasonably so i don't have a problem rebuying.",3/28/2015,1,0
100,US,452026,R3V821Y3IAPZIW,B001L2SA6M,381226741,philips avent bpa free contemporary freeflow pacifier,Baby,4,0,0,N,N,Good Quality. It lasted my child 4 months with ...,Good Quality. It lasted my child 4 months with no problem. I took one star off because you can't choose which color you want.,3/5/2015,1,0
469,us,1594216,r2q6uc11hxrrdt,b00mibuzhw,102453137,baby banana toothbrush,baby,2,0,0,n,y,two stars,"baby always drop it,the biggest problem is rubber bitten a little faster",5/6/2015,-1,0
544,US,1807151,R3DNH13QN52DU0,B00AHO43BG,667171015,fctry - baby pacifiers,Baby,5,0,0,N,Y,Love it!,"Perfect for a little boy! Similar to the Nuk pacifiers (6-18 month) usually used by him, so he took it with no problem. That made me really happy because it is so funny!",12/26/2014,1,0
594,US,1950071,R1X8UB0W9F1S9B,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,2,0,0,N,N,get the flat one,"Only good when baby is 1 - 3 month. According to my dentist, this breast-shape pacifier may lead to some teeth problem to babies when intensively used. The flat one is better and recommend.",11/5/2014,0,1
650,US,2090796,R16JLJPQUC8CI5,B003PCYMP4,911821018,wubbanub lamb infant pacifier,Baby,5,0,0,N,Y,This is amazing. My daughter had problems holding a pacifier in ...,This is amazing. My daughter had problems holding a pacifier in her mouth and couldn't yet pick it up to put it back in. Well she could hug the lamb and it would stay in. I would highly reconnect this to anyone with a little one.,11/19/2014,1,0
654,us,2101338,r14z3xrfuuw075,b0081c9uoq,332514257,"nuby 3-d snack keeper, monster",baby,5,3,3,n,y,this lovely monster is the best friend of my daughter!,"this lovely monster is the best friend of my daughter! easy to use it, trend bright colors, and the most importent thing-  i have no problems with snacks scattered around the house! daughter can not open the the cap itself, but soft monsters teeth make it easy to get cookies!",1/2/2015,1,0
668,US,2136938,R37VNCO9MWY8SV,B00BRHSD5Y,129348876,"summer infant pacifier thermometer, teal/white",Baby,1,0,0,N,N,way too long of a nipple for a 5 mo old,"My daughter is 5 mo old and this pacifier is WAY to big for her mouth, it chokes her! I don't understand how any baby could use this because I haven't had any problems with any other nipple or pacifier. She uses soothies on a regular basis but has tried various other normal pacifiera and had no issues. Size 2 Dr. Brown's bottles don't affect her this way either. The nipple is way too long.",11/10/2014,-1,1
704,us,2251817,r285xpuiyaglt9,b00a4llwt8,133662096,disney phineas and ferb window drapes,baby,4,1,1,n,n,awesome,"i collect all things perry; if there's something perry on it, and i don't have it, i must have it. so when i designed my son's room, i made sure there were lots of perry products, including these awesome drapes. they're cotton and do not black out the window, but they sure do the job, and were very easy to install. they have a slip hole at the top so you just slide the drapes over to get the curtain bar through the hole. no rings necessary. didn't give it a five because i don't particularly like the ties that go with the drapes. not worth the hassle when the drapes gather just fine when you pull them apart to bring in light from the window. and the ties seem to be the big problem with young children. they could pull on them and play with them, and cause moms all over the world to panic. also, i didn't think they were that great of ties to begin with. so omit them and you have awesome drapes that really make your phineas and ferb bedroom decor pop!!! they really bring the room together. and....one more thing off my must-have-perry list. :d",10/25/2013,1,1
