,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
14,us,80025,r33in9qnlpqmjr,b007ebyd60,76427158,summer infant swaddleme cotton knit,baby,5,0,0,n,y,great product,"perfect for newborn, easy to put on, better than using wraps, good quality, will probably last till she is 3-4 months old",11/17/2012,1,0
121,us,520586,r1me6fqdcitoia,b00vjoscxs,294987095,hebe korean style bowknot infant kids headband hair hoop 1 pcs(hst38),baby,1,0,0,n,y,i shoulded read better and it says one pc,in the picture has 8 colors and i thought i was getting the 8 headbands but really dissapointed because i only got one. i shoulded read better and it says one pc.,6/5/2015,-1,0
187,us,769090,r1cxap23p2xpbu,b00a62zu0c,577724765,disney sparkle princess on board sign,baby,3,0,0,n,y,decent product. cheap.,"super adorable, but made out of cheap plastic. the price is decent though. it's just what you would expect. could have a better suction cup, my 2 year old flicks it and it falls. but good for the price.",4/27/2015,0,1
433,us,1517247,r3k13u55nj8mvo,b000yjcaci,907679680,fleurville mothership diaper bag yellow seed pod,baby,5,1,1,n,y,even better than expected,"it's amazing, the quality even better than i expected.it's roomy,well thought-out.",2/4/2015,1,0
594,US,1950071,R1X8UB0W9F1S9B,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,2,0,0,N,N,get the flat one,"Only good when baby is 1 - 3 month. According to my dentist, this breast-shape pacifier may lead to some teeth problem to babies when intensively used. The flat one is better and recommend.",11/5/2014,0,1
614,US,2015551,R37OEZGL7ZZFO5,B000ROKDC4,460495350,"nuk 2 pack silicone orthodontic bpa free juicy pacifier, size 1",Baby,4,1,1,N,N,Mostly Great,"We started with another brand when my son was a few days old. He was exclusively breastfed at the time, but had a hard time holding those in his mouth. We switched to these and he did much better keeping them in. Neither pacifier brand got in the way of breastfeeding.<br /><br />However, I'd recommend buying them in the store. The silicone ones are about 4.50 and you can actually choose what colors you want, instead of paying extra for a random color.",3/25/2014,1,1
626,US,2043270,RQTE2GMFGGHMF,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,Y,I Love This Thing!,"This thing is so cute!! It's a lot smaller than i thought it was going to be, but i don't know why i expected it to be bigger. It is for a baby after all. Duh.<br />But! we have a brand new baby, and this stays in his mouth so much better than a normal pacifier! He folds his little hands over it and it looks like he is snuggling it.<br />Sooooo adorable &#60;3 &#60;3 &#60;3",1/6/2015,1,0
633,us,2050756,r18qg2wg1vfw1y,b00evwx8iy,3729223,teddy needs a bath dryer sheet - 2-pack bundle - cotton candy-scented,baby,1,1,1,n,y,dryer sheets smell great in the box,"dryer sheets smell great in the box, but leave no smell at all on clothes. very disappointed and wish i didn't waste the money on 2 boxes. your regular brand name dryer sheets work better that's these expensive ones. don't waste your money.",3/17/2015,-1,0
695,us,2208311,r3tndf7bu123a8,b00856xrlk,911451327,"2 tubing for medela pump in style and new pump in style advanced breast pump - bpa free, steam heat tolerant; replacement for medela part # 87212, 8007156, 8007212; made by maymom (one pack)",baby,5,0,0,n,y,five stars,way better price than retail and ebay,9/29/2014,1,1
747,US,2373634,R2UGXUH5RMQSG,B0090IBQSI,595227405,avent bpa free soothie pacifier 6 pack - pink - 4 + months,Baby,3,1,2,N,Y,Does what its needed to do,"The pacifiers were much thicker and harder than expected that the ones that you get from the hospital as a newborn. I decided to get these because my dog had chewed up my sister's pacifier and I had to buy a new one but they would always be sold out in stores and so I resulted to purchasing this. However once I got it my sister didn't like it because it was too hard, although she is 7 months old. She will suck on it for a while and then spit it out due to difficulty sucking on it. Its good for its purchase but I think the 0-3 months pacifier is better.",11/7/2013,-1,1
