,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
1,US,13638,R1UAUVELPSGW14,B00KB87ZZY,365343975,tommee tippee every day pacifier 0-3 months 2 pack,Baby,5,0,0,N,Y,Love,My son loves these!,8/4/2015,1,0
2,US,14408,R2MDPM4UWANPLT,B00AJF7R3E,816941808,"wubbanub pacifier, levi lion",Baby,5,0,0,N,Y,Great,The baby love's it. It is great in size and shape. Product very well made.,7/22/2014,1,1
11,us,67997,r1n7n208696tpz,b00bejreic,564514027,"summer infant soothe and sleep bassinet with motion, sweet lamb",baby,5,2,2,n,n,love it.,"i had this bassinet with my first son and we hated it at first because it would only work for 10 seconds or so and my son would not lay in it what so ever. we were so aggravated with it and so tired lol. after two days of having it i thought maybe it was put together with bad batteries (my fil put it together) so i flipped it over and noticed it was still on &#34;demo&#34;. i switched it to normal mode and it worked like a dream, i laid our newborn down in it as a &#34;last try and i'm trashing this thing&#34;, turned the rocker on and he was loving it!! my husband and i were so thankful to find that switch and have our newborn sleeping peacefully! i got rid of it after our first because the part they lay in became slanted and i didn't feel safe putting another baby in it. i don't think they're really built to last that long anyway. i just reordered this for our son who is due in these next few weeks and i am so excited about receiving this. i hope he loves it as much as his brother.<br /><br />a little about the product itself:<br />it rocks side to side and has a turn knob to control fast or slow rocking.<br />the music is soothing from what i remember. we really only used one sound and it was the &#34;nature&#34; sound.<br />has storage on bottom, i personally always forgot about this but could be helpful if you are moving it room to room to help carry whatever you need to take with you.<br />design was nice in my opinion. i feel as though it could be used for either gender.<br />only con was they aren't built to last more than one child (my personal experience and opinion) but they're priced reasonably so i don't have a problem rebuying.",3/28/2015,1,0
12,us,67997,r16cpb3ntewa5m,b00iogim9s,557553462,inglesina fast table chair,baby,3,0,0,n,y,we loved it but my child is extremely messy when eating,"this chair is fabulous if you don't have a ton of space for a standing high chair. we loved it but my child is extremely messy when eating, i got really grossed out every time i went to clean it, i always found lots of hidden food under the seat flap. it was always stained with some kind of food from hands touching the fabric. we just moved to a booster seat because i couldn't find a &#34;perfect&#34; high chair. if you don't mind cleaning and washing fabric all the time then this is a good option.",1/22/2015,0,1
20,US,104054,RPD3TAANR7LDW,B0081ZOWC8,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,great color!,just like the soothie you get in the hospital but great unique color! love it! Serems strong and durable and long lasting!,7/19/2013,1,1
22,US,114040,R2WGKHKDDYUBV8,B0028IDXDS,450475749,wubbanub brown monkey pacifier,Baby,5,0,0,N,Y,Five Stars,"Perfect, love!",8/31/2015,1,0
25,US,119546,RIG3G4U0SGIXF,B00H30E9DY,379394235,wubbanub zebra pacifier,Baby,5,0,0,N,Y,Love it,"Very cute.<br />My baby is in love with it, won't go to sleep with out it.",8/19/2015,1,0
27,US,130819,RB9WN05XBWHNS,B00EDKT4UU,449819764,wubbanub infant pacifier - tiger,Baby,5,0,0,N,Y,Bought one because I heard good things about it,Bought one because I heard good things about it. My son loves it! I'll be buying more in the future!,8/29/2015,1,0
28,us,133174,r2jbj4ba0yo81p,b007akgbu6,504809242,chicco walker,baby,3,0,0,n,n,value for money!,"i purchased the item for my 8-month old son and he loves it!! he's now able to move around the house freely and you can see the joy of 'independence' on his face every time he moves off. i had hopped for more activity items on the walker (i.e. lights etc.), but other than that - it was a good buy and offered value for money.",8/6/2015,1,0
32,US,189595,RHMLFIK7C3J51,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,1,N,Y,Greatest binky ever!,"I cannot say enough about this product! Even other parents stop me and either rave about how great they think it also is, or they want to know where I got it. My daughter started teething at three months, and while looking for things that would work for her teething I came across this style binky! Our main obstacle with such early teething was her not quite being able to grasp toys well enough to hold up to her mouth. This toy helped so much as it allowed her to hold onto one part of the toy and still be able to use the binky without having to hold onto a small binky itself and try to navigate. It is also easier to be able to hold her with a binky, I can have one free hand because the toy part of it allows the binky to stay in place. It makes a fun toy as well! She loves spying her binky and getting to play with it and feel the softness of the toy.",8/4/2015,1,1
33,US,211337,RSZIRCEHDM3GQ,B00L434P5I,389043588,ecosusi 5-piece set includes diaper bag + changing pat + transparent wet bag + pvc bag + pacifier bag,Baby,5,5,5,N,Y,"Enough large diaper bag , love it","At first, I have no idea what kind of diaper bag to choose. Flexible? Rigid? Small? Or Big? I went through pages and reviews and got more confused. Some of them look fashion but I really worried about whether they are practical for me. After all, it is just a diaper bag.<br />I asked my friends whose baby girl is already 3 years old. She told me that you got to buy a diaper bag that is big enough especially when you have twin. That is the most important. Soon you will find it extremely helpful because there is never too many baby stuff to carry. She really have the point.<br />This bag is big and light enough for me. There are some points that I like about it.<br />-It doesn鈥檛 have too complex compartments inside which I like. It is easy for me to put things in and take out.<br />-The fabric inside is plastic which is easy to clean in case of bottle leakage. The material is good quality. It doesn鈥檛 have that kind of smell which is really not healthy for holding baby stuff.<br />-It has two side pocket and a large pocket for diaper. That is thoughtful because they are the thing you need handy such as diaper or bottle of milk. You need it immediately most of the time.<br />-It surprises me that it also has a transparent plastic bag. I use it to hold dirty or wet clothes. Very thoughtful.<br /><br />List of things I bring for a day out in case you need to know:<br />-A double stroller for my two children which our diaper bag can be easily attached.<br />-change of clothes<br />-diaper for two child.<br />-medicine like vitamins.<br />-paper handkerchief<br />-talc<br />-First aid kit<br />-pacifiers<br />-milk and two bottles.<br />-my wallet<br />-book. I love to read in the park.",7/23/2015,1,1
48,us,273386,riky2bkiwmlbl,b00qd1k01e,849765388,waterproof crib mattress cover,baby,5,0,0,n,n,five stars,love this. its a great product and fits perfect,5/26/2015,1,0
50,US,274737,R1Y9I893OYNGUZ,B00URNO4GG,704366834,"mustache pacifier for baby boys 6-12 months (2pcs), dlux products baby funny gentleman appease & control your child- made of bpa-free, odorless & 100% food-grade silicone according to en 1400 & us cpsc standards - makes ideal gift!",Baby,5,0,0,N,Y,I was pleased with them,I was pleased with them. I bought them as a gift for my brother and sister in-law. And they loved them too!,5/29/2015,1,0
55,us,287134,rvwsz9n5pl9g4,b00u0dfcgo,31834047,cosco light 'n comfy car seat base,baby,5,1,1,n,y,extra base,love it now my mom has a base for her car.,5/25/2015,1,0
57,us,293714,rmu6fqtb4k84i,b00cxviulk,17074518,summer infant 3-stage superseat deluxe giggles island: positioner,baby,5,0,0,n,y,we absolutely love it,i absolutely love it n so does my 4month old daughter faith,4/14/2015,1,0
58,US,293832,R2XGBJOARLHZ44,B0031VLRYI,572944212,wubbanub soft toy and pacifier,Baby,5,0,0,N,Y,Five Stars,My baby love WubbaNub pacifier. ..,8/7/2015,1,0
60,us,296260,r17nbgvo5qp5an,b00bxr0fwm,613036279,dr. brown's standard lavender 8 oz bottles - 3 pack,baby,5,0,0,n,y,five stars,love them,3/28/2015,1,0
69,us,326057,rk8tb6kd3znt7,b007uk1cby,17201583,4moms 2014 mamaroo,baby,5,0,0,n,y,lifesaver!,"i tried using both a bouncer and a swing for my colicky 2month old, but neither seemed to work. although the mamaroo is a little pricier than swings/bouncers, it sure is worth it. my daughter loves being on it. highly recommended.",3/4/2015,1,0
71,US,332320,R1B6UAW8VA4CHQ,B003CK3LDI,392768822,wubbanub infant pacifier - giraffe,Baby,5,0,0,N,N,soft & beautiful!! Love it,My grandson loves this binky!!!!,3/25/2015,1,0
