,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,like,tech
11,us,67997,r1n7n208696tpz,b00bejreic,564514027,"summer infant soothe and sleep bassinet with motion, sweet lamb",baby,5,2,2,n,n,love it.,"i had this bassinet with my first son and we hated it at first because it would only work for 10 seconds or so and my son would not lay in it what so ever. we were so aggravated with it and so tired lol. after two days of having it i thought maybe it was put together with bad batteries (my fil put it together) so i flipped it over and noticed it was still on &#34;demo&#34;. i switched it to normal mode and it worked like a dream, i laid our newborn down in it as a &#34;last try and i'm trashing this thing&#34;, turned the rocker on and he was loving it!! my husband and i were so thankful to find that switch and have our newborn sleeping peacefully! i got rid of it after our first because the part they lay in became slanted and i didn't feel safe putting another baby in it. i don't think they're really built to last that long anyway. i just reordered this for our son who is due in these next few weeks and i am so excited about receiving this. i hope he loves it as much as his brother.<br /><br />a little about the product itself:<br />it rocks side to side and has a turn knob to control fast or slow rocking.<br />the music is soothing from what i remember. we really only used one sound and it was the &#34;nature&#34; sound.<br />has storage on bottom, i personally always forgot about this but could be helpful if you are moving it room to room to help carry whatever you need to take with you.<br />design was nice in my opinion. i feel as though it could be used for either gender.<br />only con was they aren't built to last more than one child (my personal experience and opinion) but they're priced reasonably so i don't have a problem rebuying.",3/28/2015,1,0
34,US,213891,R1M05KPEJ229C0,B001L2SA6M,381226741,philips avent bpa free contemporary freeflow pacifier,Baby,5,0,0,N,Y,Five Stars,Very nice,7/25/2015,1,0
83,us,388960,r2pb3ve26xs1jn,b00s5vfets,506109523,"2-in-1 memory book & baby document briefcase plus scrapbooking ebook - mint green - have keepsakes kept in order, safe and secure",baby,5,3,3,n,n,the memory book has pages for special dates/events/ocassions so all you have to do is fill it in i like that it has lil envelope,"[[videoid:be4b19e8c85d0d4abe41f0ce4c383081]]just what i needed to keep all of my babies memories safe. this is a cute plastic case that closes to open it you have to press the button. it comes with a memory book, files, information cards and labels. the memory book has pages for special dates/events/ocassions so all you have to do is fill it in i like that it has lil envelopes to keep important documents you want to save. the files can be used for vaccination records, insurance papers, ect. nice for keeping all of babies things in one place. i received this product at a discounted price or free, in exchange for my honest review.",5/8/2015,1,1
88,us,403566,r2o0o802phqare,b00ajsiw6c,84369894,evenflo amp high back booster car seat,baby,5,0,0,n,y,great booster seat,very nice. my preschooler loves it.,3/6/2015,1,0
94,US,425116,R3T69JR8I5ZGYO,B0028H3ACS,380619977,wubbanub tabby kitten pacifier,Baby,5,0,0,N,Y,We love our WubbaNub Kitty!,"I love this pacifire! We used the plain ones and they were always falling out and into the ground. With the kitty attached it sits nicely on her Chest & she hugs it! Very light weight, adorable & great quality! Highly recommended",3/6/2015,1,0
112,us,487295,r21r7bmpnqfaam,b00db5ittk,421455100,little bedding mobile,baby,3,0,0,n,y,"it is plain and nice, for $20","i bought this mobile for my baby cause the other one he had broke, well u know what they say :u get what u pay for!  i have a budget and this was affordable and it gives my baby something to be looking at shile he's in the crib. it is plain and nice , for $20",6/18/2015,0,0
119,us,518627,r2s09d9lip76vo,b00kisly0o,840764851,jumping beans pirate bath wrap/towel,baby,3,2,2,n,y,this towel is so cute and made really nice. however i bought it for my 4 year ...,this towel is so cute and made really nice. however i bought it for my 4 year old and its sadly not as big as it looks in the pictures.,2/18/2015,0,1
167,us,698560,r3arlx4zl9h1se,b00mw9ts1y,883944754,everything kids toddler bedding set,baby,5,0,0,n,y,the bedding set was even nicer than on line. ...,the bedding set was even nicer than on line. my grandson likes trains and  i just happened to see the bedding set on line and he needed a new one.,1/14/2015,1,0
280,us,1072297,r18y6p81p9m15e,b0031arqlc,1439995,orbelle 3-6t toddler bed,baby,5,0,0,n,y,five stars,nice for the price.,12/2/2014,1,0
283,US,1101596,R313K71P2CNP2M,B0045I6IA4,246038397,"philips avent bpa free soothie pacifier, 0-3 months, 2 pack, packaging may vary",Baby,5,0,0,N,Y,Five Stars,It's nice,6/5/2015,1,0
